DATE,RP
1978-01-01,7351.700
1979-01-01,7401.000
1980-01-01,7477.239
1981-01-01,7608.796
1982-01-01,7767.422
1983-01-01,7920.955
1984-01-01,8041.685
1985-01-01,8182.906
1986-01-01,8393.640
1987-01-01,8553.844
1988-01-01,8667.680
1989-01-01,8793.710
1990-01-01,8878.157
1991-01-01,8948.125
1992-01-01,9055.424
1993-01-01,9100.159
1994-01-01,9096.608
1995-01-01,9089.015
1996-01-01,9127.042
1997-01-01,9206.538
1998-01-01,9313.589
1999-01-01,9437.290
2000-01-01,9542.100
2001-01-01,9633.710
2002-01-01,9717.836
2003-01-01,9781.839
2004-01-01,9808.353
2005-01-01,9802.296
2006-01-01,9755.937
2007-01-01,9727.968
2008-01-01,9771.522
2009-01-01,9831.945
2010-01-01,9821.647
2011-01-01,9873.7
2012-01-01,9931.394
2013-01-01,9987.189
2014-01-01,10033.449
2015-01-01,10077.263
2016-01-01,10094.865
2017-01-01,10092.365
2018-01-01,10061.533
2019-01-01,10011.602
2020-01-01,9992.236
2021-01-01,9811.842
2022-01-01,9721.138
